Scenario;IdBar;attVector;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
11;NE;Alpha;-0.003679751;0.014832961;-0.021183868;0.036279311;0.030393874;-0.024257417;-0.00100078;0.024665805;-0.038940604;-0.090847662;-0.112873397;-0.022427949;-0.048752191;-0.069911151;0.005756124;0.014305443;0.019031941;0.056215289;0.032764649;0.013299237;0.008466573;0.013120524;0.030709031;-0.113233793;-0.190965639;0.170143647;0.201166399;0.208926391;0.122515646;0.130674974;-0.029022786;-0.05922577;-0.053607282;-0.010995092;-0.042398776;-0.046018626;-0.213021271;-0.087219057;0.057683222;0.131319148;0.191684895;0.062278312;0.025610353;0.03971438;0.002846436;-0.118528963;-0.132028347;-0.161576498
12;NE;Alpha;-0.021128487;-0.046989142;-0.087821481;-0.053254781;-0.049431047;-0.067310401;-0.017078296;-0.034230222;0.05442439;0.078775185;0.089202963;0.071974625;0.058656451;0.077958869;0.066986954;0.078972219;0.094971962;0.12511515;0.114987738;0.13541282;0.12459249;0.086376421;0.095728114;0.055096139;-0.045343414;0.235539958;0.225352084;0.154616829;0.087603046;0.080931934;0.053691246;-0.050887705;-0.084352221;-0.173476663;-0.36131597;-0.599092389;-0.682684258;-0.36215111;-0.012690037;0.102961817;0.244675772;0.167756101;0.152191829;0.13998061;0.184672499;0.068135043;-0.010777574;-0.030058985
13;NE;Alpha;-0.080372032;-0.053017736;-0.080668411;-0.003483818;-0.057226229;-0.026474483;-0.005803691;0.001150553;0.024119761;0.054864401;0.156928472;0.169712479;0.135606223;0.073366469;0.085731412;0.02328535;-0.048997142;-0.057481974;-0.01262782;-0.008035077;-0.013817264;-0.03885517;0.083473842;0.17327397;-0.201912147;0.054459842;0.06935842;0.057487853;0.070679668;0.101555581;0.045544995;0.065788347;0.043387449;-0.03627288;-0.201663433;-0.209524246;-0.480821859;-0.258535577;0.090450806;0.248571931;0.17893388;0.060256854;-0.025712975;-0.120030062;-0.140671528;-0.154251864;-0.117764776;-0.047286604
14;NE;Alpha;0.101851142;0.105673011;0.114549191;0.059182172;0.073977658;0.129066089;0.078170685;0.067866066;0.064144573;0.077090726;0.063429108;0.089834046;0.108034538;0.113007901;0.101686934;0.150475849;0.14636951;0.095308896;0.112230521;0.155160083;0.144732359;0.127305198;0.134389389;0.244078084;-0.238299003;0.058959746;0.111391459;0.144624137;0.176687166;0.263363604;0.123234359;0.094885658;0.086333787;-0.027343401;-0.171401983;-0.214951234;-0.3447762;-0.122136199;0.144820771;0.281357806;0.375341995;0.328837234;0.247528005;0.217522056;0.180674209;0.048716322;-0.060942758;-0.120189633
15;NE;Alpha;-0.041756688;-0.068910006;-0.07567765;-0.051892559;-0.027329408;0.067517249;0.000630838;0.009822943;0.099158346;0.080249658;0.088163969;0.039903435;0.072215881;0.06378023;0.035383169;0.103525274;0.018761731;-0.007500376;-0.015849824;1.78E-05;-0.038615697;-0.142600724;-0.118164691;-0.164907994;-0.166635415;0.0937349;0.128572511;0.112008613;0.053347426;0.024147772;0.080567906;0.034344682;0.028324562;0.038459563;-0.11380754;-0.292709656;-0.424572012;-0.144806175;0.064710083;0.242239639;0.260482469;0.278737249;0.200758834;0.155499053;0.073412129;0.021468465;-0.058184363;-0.05926238
16;NE;Alpha;0.038430065;0.01340991;0.065464095;0.118514599;0.127886786;0.113262153;0.117454917;0.140565997;0.110326981;-0.018434402;0.013539421;0.003506737;0.007368433;0.027856032;0.019386085;0.026302712;-0.064980947;-0.073288735;-0.068098401;-0.073450533;-0.112056629;-0.093411988;-0.049648603;0.014067848;-0.232348341;0.031276939;0.133663371;0.126828041;0.078817791;0.076305673;0.019773966;-0.010475478;0.019429853;0.047580797;-0.104295796;-0.146881968;-0.426174784;-0.25575061;-0.01267202;0.139983087;0.11714705;0.104253799;0.117471009;0.046731363;0.048257201;0.045627404;0.020310305;-0.073919183
17;NE;Alpha;0.041526867;0.026454744;0.027023078;-0.048437478;-0.080789513;-0.147653529;-0.237048516;-0.239911328;-0.219745034;-0.164274797;-0.102198926;-0.007942064;0.082521393;0.062016373;0.084819098;-0.001639582;-0.031194876;-0.078836927;-0.077918605;-0.079112482;-0.142680032;-0.091192396;-0.129040563;-0.073779122;-0.082541941;0.103480643;0.109944682;0.038276618;-0.042672518;-0.07388358;-0.147625307;-0.1704998;-0.026227304;0.003944841;-0.116194726;-0.106853633;-0.225226934;-0.137268489;0.148426165;0.311769092;0.250842813;0.185575299;0.104951852;0.058578945;0.005708111;-0.046064054;-0.072182227;-0.033367399
18;NE;Alpha;-0.068011792;-0.007292177;-0.03461298;-0.03598334;0.000710263;0.015716305;0.070226737;0.044733362;0.107863603;0.186829294;0.247589228;0.267485185;0.244841565;0.154918358;0.120575929;0.116665929;0.035229776;0.017099734;0.003385652;0.051564317;0.035264063;-0.01563556;-0.015442762;-0.023191129;-0.112771612;0.124863875;0.154958318;0.140435137;0.165264561;0.084065378;0.048388284;0.075285035;0.005893519;0.057682397;0.003476156;-0.136948662;-0.323973054;-0.074668027;0.05033948;0.137320156;0.189519219;0.195953013;0.101458471;0.042806257;0.025077826;0.010046458;-0.077704;0.001146967
19;NE;Alpha;0.042864014;0.019797843;-0.009769623;0.035337197;0.036365073;0.070455547;0.068523912;0.046553143;0.023942201;-0.005563898;0.053812978;0.022240794;0.020351471;0.076474018;0.076760713;0.058904509;0.047712424;0.024394641;0.016265736;0.03007494;0.036706129;0.05747799;0.053039622;0.208087316;-0.100989427;0.172062052;0.144476536;0.156128357;0.061821325;0.009580242;-0.058790465;-0.01715226;0.014041704;0.099754625;-0.002100145;-0.030239531;-0.240293921;-0.024446063;0.115849735;0.22772094;0.199258563;0.122675903;0.043347282;0.025322358;0.054723547;0.104198614;0.040687653;0.037727829
20;NE;Alpha;0.032132805;0.028234373;0.015746285;-0.022754349;0.012219239;0.006905584;-0.003731971;-0.023768259;0.000323841;0.004787637;0.034512857;0.093039047;0.14677423;0.11987542;0.088236929;0.107207606;0.08768695;0.07554581;0.008330627;0.017906454;0.021205578;-0.018729461;-0.055545843;-0.19020902;-0.163649213;0.034444961;0.103971519;-0.010556354;-0.048654889;-0.099776083;-0.063384798;0.042511198;0.217732943;0.137635077;-0.001976467;-0.22183758;-0.544532383;-0.363600547;0.046685426;0.156564231;0.306593766;0.237885186;0.133201013;0.090941126;0.11863292;0.064461215;0.025744394;0.073360648
1;S;Alpha;0.217933205;0.212014637;0.296201113;0.09393214;0.07470098;0.125546296;0.190105973;0.069737119;0.024524715;0.137919067;0.082573991;0.13198574;0.080654472;-0.004320175;-0.014947368;-0.033140127;-0.159864924;-0.056867521;-0.296664336;-0.263780328;-0.513023529;-0.69851462;-0.4211;-1.977;-1.257146667;-1.44089697;-0.9049;-1.930615385;-2.76168;-3.289111111;-4.514571429;-3.691688889;-3.22252;-0.53432;0.748583333;0.636625;0.49038797;0.654191837;0.447692308;0.344753846;0.426346809;0.508477384;0.579513287;0.518651667;0.499688333;0.285647773;0.1411;-0.206025185
2;S;Alpha;0.199267181;0.136438456;0.012339596;-0.121800895;-0.272672386;-0.286563889;-0.300909441;-0.383770768;-0.341020279;-0.264161866;-0.122067265;-0.128935829;-0.291262195;-0.250800438;-0.107524123;-0.094053078;-0.16937037;-0.130621795;-0.081904429;-0.059101639;-0.248917647;-0.466549707;0.33;1;-1.19696;-0.802290909;-2.59246;-2.419169231;-0.23736;-0.453777778;-0.869142857;-0.4416;-1.2752;-0.43084;-0.18305;-0.083020833;0.074390977;0.326085714;0.463486713;0.445001099;0.305648936;0.212493733;0.1467338;0.068865;0.078546667;0.192979757;0.100309302;0.115111111
3;S;Alpha;-0.096615286;-0.136561544;0.035366736;0.201616704;0.214937092;0.229017593;0.109331407;0.163602524;0.207471483;0.01466941;0.097727952;-0.113787879;0.059235772;-0.079668859;-0.172609649;-0.154469214;-0.086533769;-0.062786325;-0.062750583;-0.09987541;-0.140952941;-0.098432748;-0.73832;-1.40647619;-2.2892;-2.398084848;-3.59858;-2.803261538;-3.94424;-3.027644444;-5.035542857;-1.772088889;-3.573;-1.6865;0.206808333;0.457595833;0.483879699;0.730936735;0.798475524;0.453731868;0.379762766;0.15467248;0.03768951;-0.1553275;-0.0750575;-0.15865749;-0.182365116;-0.038542963
4;S;Alpha;0.026971741;0.016838323;0.095416145;0.098456376;0.123924837;0.157512037;0.151685935;0.135028391;0.058190114;0.059109739;0.126349776;-0.06228877;-0.059485772;-0.072817982;-0.106901316;0.041295117;0.044093682;0.006470085;0.074771562;0.10844918;-0.161064706;-0.817321638;-0.37522;0.495238095;-0.822728889;-1.107830303;-2.02174;-1.663784615;-5.70268;-7.338622222;-9.613771429;-5.18;-4.4604;-0.11032;0.596116667;0.666879167;0.533876692;0.625918367;0.395239161;0.556643956;0.414601064;0.155301362;0.276112821;0.428200833;0.177141667;0.030819433;0.165072868;-0.052611852
5;S;Alpha;0.194174053;0.154328011;0.076309673;0.202739001;0.220938726;0.115119445;0.222869942;0.317581493;0.376831432;0.192344307;0.032515695;0.020654189;-0.010235772;-0.017861842;0.092157895;0.195191083;0.183880174;0.218333333;0.103885781;0.169868853;-0.054058823;-0.246912281;-0.33222;-1.117142857;-1.837626667;-3.869490909;-5.34022;-5.482707692;-5.98516;-4.805688889;-1.750171429;-1.234622222;-1.87928;-0.3054;0.0119;0.30595;0.28753985;0.488920408;0.490467133;0.278215385;0.055973404;-0.003147684;0.141457343;0.000738333;0.1705675;0.182928745;0.239514729;0.21521037
6;S;Alpha;0.167824021;0.017007984;0.069075157;0.006735272;-0.134679739;-0.145512963;-0.428819846;-0.399635121;-0.476403042;-0.455061729;-0.281428999;-0.371092692;-0.026571138;0.121686403;0.063171052;-0.012108281;0.067063181;0.086485043;0.1244662;-0.059357377;-0.068258824;0.425321637;0.30674;0.873190476;0.638355556;-0.125587879;-1.28722;-2.087969231;-4.14436;-5.032177778;-3.774171429;-1.757688889;-1.42788;0.42336;0.755833333;0.632120833;0.633503759;0.548440816;0.69053986;0.466765934;0.482412766;0.26440545;0.358729138;0.359180833;0.332994167;0.176157895;0.257586047;0.139721481
7;S;Alpha;0.250629416;0.124693945;0.257633264;0.310152125;0.293738562;0.147389815;-0.074144509;0.099955836;0.014282636;-0.130091907;-0.17693722;-0.20388057;0.061626016;-0.087168859;-0.092385965;-0.161828025;-0.069017429;-0.009467949;0.045655012;0.197157377;-0.0051;0.434304094;0.17266;-0.184142857;-2.462462222;-3.190048485;-5.1124;-8.008738462;-9.79004;-8.028133333;-7.4864;-3.730622222;-1.751;0.54248;0.578183333;0.541016667;0.369154887;0.545912245;0.329630769;0.238576923;0.177411702;0.075740599;0.159131002;0.282104167;0.1710675;0.117758704;0.068907752;-0.061443704
8;S;Alpha;0.020763648;-0.060021291;-0.058504523;-0.087343773;-0.044444444;0.046798148;-0.025439306;0.177762356;0.119357414;0.001532236;-0.026660688;-0.162475936;-0.203930894;-0.050416667;-0.137469298;-0.070804671;-0.12983878;-0.188448718;-0.101927739;-0.377793443;-0.336370588;-0.755590643;-0.74636;-0.494857143;-1.029697778;-2.082921212;-4.98184;-5.088707692;-3.75972;-2.741066667;-1.8492;-1.871333333;-2.96732;-1.22058;-0.31935;0.0160125;0.277521805;0.033526531;0.012278322;-0.089979121;-0.049946809;-0.037024523;0.283258741;0.474335833;0.696303333;0.516191903;0.329813178;0.171885185
9;S;Alpha;-0.256180475;-0.108997339;-0.179024356;-0.091191648;-0.115473856;-0.011358333;-0.022647399;-0.124084122;-0.026978454;-0.104758573;-0.158992526;-0.21844385;-0.155534553;-0.255442982;-0.16070614;-0.143;-0.072840959;0.076910256;0.0897669;0.170062295;0.103276471;0.247824562;0.4272;-0.160380952;-1.431635556;-1.618945455;-2.0101;-2.349384615;-2.03244;-2.369377778;-3.332057143;-4.873555556;-3.96828;-1.2029;-0.0563;0.2031;0.290015038;0.390844898;0.174116084;0.321571429;0.022282979;0.020034877;0.219858275;0.333876667;0.164335;0.238593522;0.208822481;0.213001481
10;S;Alpha;-0.223466281;-0.212159681;-0.071903967;0.062553318;0.325825163;0.362640741;0.456686898;0.474815983;0.360154626;0.170102881;-0.044850523;-0.245677362;-0.205672764;-0.249067982;-0.231769737;-0.073312102;-0.029943355;0.080252137;0.177729604;0.194563934;0.354952941;0.208678363;0.67332;0.412666667;-2.312871111;-2.766327273;-3.75594;-6.531876923;-6.44744;-4.1284;-2.933885714;-0.961733333;-0.846;0.62342;0.498708333;0.655983333;0.777251128;0.867216327;0.909001399;0.634210989;0.387171277;0.234025068;0.27792634;0.165860833;0.068654167;0.221410526;0.106858915;0.099306667
11;S;Alpha;0.045412332;0.086520293;0.004902575;-0.090433259;-0.119888889;-0.025784259;0.003912331;-0.088838065;0.003228137;0.177304527;0.040563528;-0.218948307;-0.13274187;-0.11633114;-0.175223684;-0.287178344;-0.293779957;-0.181068376;-0.341356643;-0.437514754;-0.443517647;-0.549649123;-0.4731;-1.35747619;-1.596968889;-3.105515152;-4.0391;-3.383230769;-2.2648;-1.419511111;-0.975257143;-0.536311111;-2.08268;-0.82802;-0.124166667;0.525583333;0.445780451;0.639287755;0.710601399;0.691386813;0.41948617;0.409700272;0.309727739;0.224689167;0.123679167;0.04394251;-0.033948062;-0.172652593
12;S;Alpha;0.03271034;-0.058974052;0.092767571;-0.001090977;0.054806372;0.011646296;0.051976879;0.10102103;0.076671736;0.24038546;0.215452915;0.315819964;0.328607723;0.247370614;0.193546052;0.030607219;0.04756427;-0.063393162;-0.263794872;-0.238101639;-0.089258824;0.561403509;0.39;-0.261904762;-1.40904;-1.140642424;-3.23556;-4.847630769;-5.0924;-5.893155556;-6.719142857;-3.684888889;-2.03956;0.05554;0.656475;0.857358333;0.913581955;0.733546939;0.524514685;0.457832967;0.272510638;0.036079564;0.113640093;0.328256667;0.228896667;0.032622672;-0.159622481;-0.07456
