idGenerator;attVector;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336
1;MaxGeneration;664.10162;681.6649462;673.0980444;659.6282721;651.4781833;632.8583242;587.1776577;557.739168;563.4690406;541.5972725;489.7790485;455.0636944;451.3930389;460.9449394;492.906684;534.7904561;553.3025859;597.1925186;662.273899;693.3067122;694.9709218;676.838586;648.8947092;620.1608494;665.8191396;713.6904915;727.4530567;712.0077723;707.9841045;700.3138057;666.8215385;643.800975;671.5238785;658.586382;579.164584;514.5502839;428.0310633;461.179161;524.255205;605.5895383;656.3744297;662.4520532;685.8361197;702.9436804;697.6985738;683.9340752;661.9341349;631.5349561;646.5159175;669.9814704;676.2356;673.2074217;673.2074217;685.363778;672.2652422;652.8438;679.8988073;692.7153263;662.8445566;654.0945246;630.7483012;635.8605449;657.5124489;656.8213525;642.4665774;630.458551;657.000616;661.645494;635.1235865;628.9973438;593.6836944;580.0849259;580.3970524;606.5234137;622.6346609;628.6852173;637.4518256;642.4632494;615.6021484;586.0589721;603.2433284;590.0111056;530.380053;503.1256246;490.2337047;472.4795148;482.5498723;507.2028876;527.0102092;578.1848467;665.0471275;708.4418035;702.9058373;695.671685;611.9566266;626.3956454;697.7692839;728.0143328;736.5105245;721.5886731;703.0657672;679.0176712;628.2092942;588.3388772;584.327919;526.9748381;443.4401526;376.9191172;333.9876549;357.7518008;449.1421342;588.0847835;638.9550279;663.9179511;692.3976851;721.8767753;731.003844;664.8336022;627.7306137;685.5402841;666.9428013;698.6098195;711.0307924;698.8821695;686.4631301;664.9730893;570.5217106;414.1052401;226.9001301;170.7693122;135.3277759;136.6353919;141.7951455;158.5325789;177.3046346;351.399894;539.5988454;600.3814508;635.0318948;671.0092882;682.4413957;656.9450874;654.3036125;651.0795945;668.3462611;697.390314;703.6444436;693.3666463;683.3971087;651.6234704;595.1241733;581.8046642;615.7797639;603.266814;551.6753634;527.0497004;492.8199362;457.8137226;460.5104408;493.1235053;534.7183513;562.3412588;603.1643461;645.219363;650.7075339;624.4405762;584.7532895;552.2012685;668.3462611;697.390314;703.6444436;693.3666463;683.3971087;651.6234704;595.1241733;581.8046642;615.7797639;603.266814;551.6753634;527.0497004;492.8199362;457.8137226;460.5104408;493.1235053;534.7183513;562.3412588;603.1643461;645.219363;650.7075339;624.4405762;584.7532895;552.2012685;573.2814056;582.9214165;585.0132153;581.0108145;575.0726781;561.3004461;518.1604346;490.7681672;509.6062423;498.8934076;462.1017215;450.0036513;445.1687337;438.3467038;444.5872999;474.0122562;503.6697859;522.157606;547.7185391;575.6621306;581.9742609;561.4534666;531.9470241;507.1699886;493.6449729;495.567175;509.69711;522.8906656;531.0747308;534.5139221;510.9834591;503.18914;534.8534009;536.1941692;502.6933446;482.4587192;476.4286056;482.4026518;515.729189;550.4796288;553.2285477;555.2794607;580.4061805;609.8076511;613.2495997;582.0759048;540.9724488;507.4133382;580.998929;571.0274581;557.6662391;540.028336;537.8260505;556.3771327;526.0575069;489.1542248;527.7424448;545.9214666;510.2774665;483.9331745;469.5493991;465.8146575;467.8260794;471.1431838;478.4673798;481.6814457;519.8785249;579.9766579;601.8901359;586.7384684;559.1619614;532.0934205;530.2322618;519.8478445;511.0259929;505.8469057;504.993946;515.1535233;498.8232361;455.278297;492.0111583;508.7002579;477.7099786;446.3009528;429.7720686;429.8991314;442.6739406;472.9877663;503.9451786;527.5510425;569.5207064;613.3874388;637.2250522;620.1870924;596.6265196;578.4825837;524.4957652;529.918202;541.9107616;563.9678786;588.1071277;611.9400504;618.6148598;603.6106982;416.6586046;335.0325877;303.3782789;284.2534963;269.5158846;283.9181696;366.5048756;507.2929314;634.9233414;613.7037173;624.501905;659.7329587;668.8484272;648.0514162;637.320896;625.2827598;702.4763147;716.602383;721.65745;710.7020897;689.052119;653.7307361;547.5447903;372.1518671;281.4015389;222.6041124;201.9283642;204.4273094;206.5608181;226.0772801;286.9355717;419.6249155;601.4863176;625.4587273;648.9173708;685.3300869;691.0024974;667.1317316;635.8989267;604.8696949
2;MaxGeneration;44.52718818;42.98289264;41.09542031;38.35000601;35.00403233;30.88591088;29.68479212;27.19676041;22.56387378;20.84798984;19.1321059;16.04351482;14.07024829;13.04071793;13.04071793;13.46968891;13.12651212;13.38389471;12.26857015;10.46689202;7.292506735;4.890269222;4.289709844;3.603356269;3.86073886;2.831208497;1.715883938;1.115324559;0.857941969;0.772147772;0.600559378;0.772147772;0.857941969;1.715883938;4.11812145;8.236242901;11.41062819;16.81566259;24.53714031;31.22908766;32.25861803;31.48647026;36.80571046;41.1812145;41.1812145;42.38233326;44.26980559;46.32886632;49.07428062;48.38792704;46.7578373;43.32606942;36.89150466;28.56946756;24.6229345;21.9633144;15.35716124;13.46968891;15.87192642;15.52874964;13.04071793;12.52595274;15.35716124;17.93098715;18.87472331;21.79172601;27.28255461;34.57506134;41.1812145;48.21633865;55.50884538;62.02920434;65.11779543;65.20358963;64.51723605;63.65929409;67.00526776;70.17965305;75.75627585;79.61701471;77.21477719;73.95459771;70.52282984;73.78300932;79.18804372;80.30336828;84.67887232;87.9390518;87.33849242;84.42148973;84.59307812;85.45102009;85.10784331;85.96578527;86.90952144;87.9390518;88.71119957;89.56914154;89.56914154;89.48334735;89.56914154;89.99811253;91.02764289;91.37081968;90.16970092;83.56354776;78.67327854;74.1261861;69.06432849;71.3807718;77.81533657;88.79699377;91.02764289;90.42708351;88.45381698;84.16410714;76.61421781;64.51723605;55.42305118;55.59463958;67.26265035;67.09106196;66.66209098;66.57629678;66.14732579;65.54676642;63.65929409;56.70996414;44.012423;34.48926715;31.48647026;30.3711457;29.25582114;32.60179481;44.52718818;57.48211191;78.84486693;80.81813346;76.8716004;74.46936289;68.8927401;59.97014362;52.93501948;50.96175295;47.78736766;36.97729886;28.39787917;22.64966798;18.10257554;13.8128657;9.35156746;5.4908286;2.573825906;1.201118756;0.686353575;0.943736166;0.943736166;0.514765181;0.085794197;0.857941969;4.547092435;13.38389471;26.59620103;36.46253367;35.8619743;32.17282383;29.68479212;28.31208497;47.78736766;36.97729886;28.39787917;22.64966798;18.10257554;13.8128657;9.35156746;5.4908286;2.573825906;1.201118756;0.686353575;0.943736166;0.943736166;0.514765181;0.085794197;0.857941969;4.547092435;13.38389471;26.59620103;36.46253367;35.8619743;32.17282383;29.68479212;28.31208497;21.53434342;16.72986839;13.7270715;11.83959917;9.008390672;5.4908286;3.603356269;3.517562072;4.11812145;5.834005388;7.807271916;11.15324559;17.84519295;28.74105595;32.85917741;31.22908766;33.28814839;39.46533057;42.63971585;37.14888725;29.94217471;26.33881844;23.85078673;22.64966798;8.836802279;8.322037097;7.97886031;7.206712538;5.4908286;5.405034403;5.405034403;3.946533057;2.917002694;2.230649119;1.887472331;1.887472331;1.115324559;0.772147772;0.514765181;0.514765181;0.514765181;0.857941969;2.059060725;3.689150466;5.405034403;8.236242901;13.38389471;22.30649119;34.31767875;46.58624891;58.42584808;60.91387979;52.59184269;40.06588994;30.62852829;24.36555191;20.16163627;18.87472331;16.55828;11.15324559;6.005593782;3.260179481;2.573825906;2.917002694;4.203915647;6.949329947;9.35156746;11.66801078;13.6412773;17.41622197;23.85078673;34.40347295;35.00403233;42.55392165;48.47372124;47.01521989;42.12495067;42.03915647;42.29653906;36.20515108;32.00123544;35.17562072;40.49486093;40.49486093;37.40626984;38.17841761;39.63691896;39.63691896;45.64251274;56.53837574;62.71555792;57.6537003;50.27539937;46.41466051;40.83803772;35.51879751;23.33602155;17.67360456;12.86912953;8.064654507;3.603356269;0.600559378;0.600559378;0.085794197;0.085794197;0.085794197;0.085794197;0.343176788;0.343176788;0.686353575;2.059060725;4.632886632;7.378300932;9.866332641;13.89865989;16.64407419;15.18557285;12.69754114;12.18277596;12.78333534;7.206712538;6.86353575;8.579419688;9.780538444;9.35156746;9.523155854;9.094184869;5.576622797;3.603356269;3.002796891;3.345973678;4.718680828;5.748211191;6.520358963;7.807271916;11.83959917;21.62013761;22.47807958;23.16443316;27.6257314;27.88311399;26.85358362;26.16723005;26.42461264
3;MaxGeneration;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902;0.069554039;0.067876399;0.068057766;0.067876399;0.066153418;0.841449713;36.89778303;129.8366701;183.4047064;193.1675726;200.5830125;205.5512294;200.2107578;183.2395269;164.2568059;144.2927109;61.47153342;4.187026206;0.074859008;0.072637269;0.065473294;0.065110561;0.065201244;0.065155902
4;MaxGeneration;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266;5.782100527;5.773199368;5.938739644;6.059738662;6.059951439;6.053036196;9.600910412;61.43962774;121.5670261;133.0857284;135.6393325;134.2211403;133.6185213;132.815041;123.7771732;110.160528;67.47670569;14.1786948;6.754241822;6.173396885;6.130947932;6.131657188;6.126444159;6.127295266
