idGenerator;attVector;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
1;MaxGeneration;593.5262989;630.1007739;640.1449585;652.065721;592.2773505;607.0582753;487.5410327;593.0950965;521.7500582;530.218084;526.7179893;516.1742865;519.2285664;513.4822089;600.387773;600.387773;600.387773;600.387773
2;MaxGeneration;20.46906547;3.639103851;17.80587061;30.33897287;77.76528996;81.62960357;56.98522052;16.55828;20.01507118;5.036834308;22.95352242;43.0972849;7.324679559;13.11578785;41.23075044;41.23075044;41.23075044;41.23075044
3;MaxGeneration;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417;71.19536417
4;MaxGeneration;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244;52.11213244
